id,user_type_id:id,code,name,reconcile,chart_template_id:id
__export__.account_account_4550,account.data_account_type_revenue,L501000,Suteiktų paslaugų pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4551,account.data_account_type_receivable,L501001,Programavimo pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4552,account.data_account_type_receivable,L501002,Banko komisinių pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4553,account.data_account_type_receivable,L501003,Serverių nuomos pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4554,account.data_account_type_receivable,L501004,Konsultacijų pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4555,account.data_account_type_receivable,L501005,Dizaino,1,l10n_lt_account_chart_template
__export__.account_account_4556,account.data_account_type_receivable,L509,Nuolaidos,1,l10n_lt_account_chart_template
__export__.account_account_4557,account.data_account_type_receivable,L52101,Ilgalaikio turto perleidimo pelnas,1,l10n_lt_account_chart_template
__export__.account_account_4558,account.data_account_type_receivable,L52201,Kitos netipinės veiklos pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4559,account.data_account_type_receivable,L52801,Tiekėjų skolų koregavimai,1,l10n_lt_account_chart_template
__export__.account_account_4560,account.data_account_type_receivable,L52901,Kiti koregavimai,1,l10n_lt_account_chart_template
__export__.account_account_4561,account.data_account_type_receivable,L532,Dividendų pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4562,account.data_account_type_receivable,L533,Baudų ir delspinigių pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4563,account.data_account_type_receivable,L534,Investicijų perleidimo pelnas,1,l10n_lt_account_chart_template
__export__.account_account_4564,account.data_account_type_receivable,L535,Palūkanų pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4565,account.data_account_type_receivable,L536,Teigiama valiutų kursų pasikeitimo įtaka,1,l10n_lt_account_chart_template
__export__.account_account_4566,account.data_account_type_receivable,L538,Investicijų perkainojimo pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4567,account.data_account_type_receivable,L539,Kitos finansinės investicinės veiklos pajamos,1,l10n_lt_account_chart_template
__export__.account_account_4568,account.data_account_type_receivable,L5401,Pagautė,1,l10n_lt_account_chart_template
__export__.account_account_4569,account.data_account_type_receivable,L591,Praėjusių metų nepaskirstytasis pelnas,1,l10n_lt_account_chart_template
__export__.account_account_4570,account.data_account_type_receivable,L592,Pervedimai iš rezervų,1,l10n_lt_account_chart_template
